"Category"	"Uniquely mapped"	"Mapped to multiple loci"	"Mapped to too many loci"	"Unmapped: too short"	"Unmapped: other"
"14_post"	9579343	1119603	22442	442093	23504
"14_pre"	9589994	915931	34017	396952	35090
"15_pre"	9989829	1296143	12325	1142116	18703
"26_post"	10282218	1021342	10673	738296	12064
"26_pre"	12672147	1095449	12495	693898	13038
"34_post"	11425549	962978	30308	394354	29544
"34_pre"	9474272	958847	18329	398199	20672
"36_post"	12232635	1290315	23698	466233	19660
"36_pre"	9757239	1142799	20370	544985	19505
"66_post"	13313904	1114649	22111	560469	22539
"66_pre"	11332416	1115849	21345	479823	19452
"88_post"	11119799	872133	17050	481950	16231
"88_pre"	11958010	945776	32285	361691	34573
"9_post"	9893622	774391	7069	397763	6648
"9_pre"	11171029	966779	16030	441069	16383